RMD,RMD_Display,PT_Count_Plotted,PTs_Plotted,PNG,PDF
RMD_Circadian Rhythm Sleep Wake Disorder,Circadian Rhythm Sleep Wake Disorder,8,PT_Neurobiological Assessments For Mental Disorders|PT_Traditional And Alternative Medicine Approaches|PT_Regenerative Medicine Approaches|PT_Electroencephalography|PT_Brain Computer Interface|PT_Personalized Medicine|PT_Cognitive Behavioral Therapy|PT_Transcranial Magnetic Stimulation,model/Bayesian/forecast/plots/Circadian_Rhythm_Sleep_Wake_Disorder.png,model/Bayesian/forecast/plots/Circadian_Rhythm_Sleep_Wake_Disorder.pdf
RMD_Cotard Syndrome,Cotard Syndrome,8,PT_Smart Wearable Mental Health Trackers|PT_Metaverse|PT_Biofeedback Devices|PT_Anxiolytic Medications|PT_Antidepressants|PT_Selective Serotonin Reuptake Inhibitors|PT_Mood Stabilizers|PT_Cbt For Insomnia,model/Bayesian/forecast/plots/Cotard_Syndrome.png,model/Bayesian/forecast/plots/Cotard_Syndrome.pdf
RMD_Cyclothymic Disorder,Cyclothymic Disorder,8,PT_Smart Wearable Mental Health Trackers|PT_Fecal Microbiota Transplant|PT_Selective Serotonin Reuptake Inhibitors|PT_Hypnotherapy|PT_Vagus Nerve Stimulation|PT_Motivational Interviewing|PT_Cbt For Insomnia|PT_Machine Learning Neuroimaging,model/Bayesian/forecast/plots/Cyclothymic_Disorder.png,model/Bayesian/forecast/plots/Cyclothymic_Disorder.pdf
RMD_Delusional Disorder,Delusional Disorder,2,PT_Reality Testing Techniques|PT_Metaverse,model/Bayesian/forecast/plots/Delusional_Disorder.png,model/Bayesian/forecast/plots/Delusional_Disorder.pdf
RMD_Diogenes Syndrome,Diogenes Syndrome,8,PT_Psilocybin Assisted Therapy|PT_Metaverse|PT_Anticonvulsant Therapy|PT_Meditation And Relaxation Techniques|PT_Focused Ultrasound Therapy|PT_Stem Cell Therapy For Neurological Disorders|PT_Mindfulness Based Stress Reduction|PT_Emdr Therapy,model/Bayesian/forecast/plots/Diogenes_Syndrome.png,model/Bayesian/forecast/plots/Diogenes_Syndrome.pdf
RMD_Disinhibited Social Engagement Disorder,Disinhibited Social Engagement Disorder,8,PT_Memory Retrieval Techniques|PT_Lithium Therapy|PT_Anticonvulsant Therapy|PT_Psychoeducation Programs|PT_Speech Language Therapy|PT_Narrative Exposure Therapy|PT_Light Therapy|PT_Acceptance And Commitment Therapy,model/Bayesian/forecast/plots/Disinhibited_Social_Engagement_Disorder.png,model/Bayesian/forecast/plots/Disinhibited_Social_Engagement_Disorder.pdf
RMD_Dissociative Amnesia,Dissociative Amnesia,8,PT_Reality Testing Techniques|PT_Privacy Preserving Ai In Digital Mental Health|PT_Psilocybin Assisted Therapy|PT_Metaverse|PT_Focused Ultrasound Therapy|PT_Resting State Fmri|PT_Mindfulness Based Stress Reduction|PT_Mood Stabilizers,model/Bayesian/forecast/plots/Dissociative_Amnesia.png,model/Bayesian/forecast/plots/Dissociative_Amnesia.pdf
RMD_Dissociative Fugue,Dissociative Fugue,8,PT_Vocal And Speech Biomarkers|PT_Transcranial Direct Current Stimulation|PT_Neuroprotective Agents|PT_Hypnotherapy|PT_Motivational Interviewing|PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Cbt For Insomnia,model/Bayesian/forecast/plots/Dissociative_Fugue.png,model/Bayesian/forecast/plots/Dissociative_Fugue.pdf
RMD_Ekbom Syndrome,Ekbom Syndrome,8,PT_Vocal And Speech Biomarkers|PT_Memory Retrieval Techniques|PT_Secure Data Storage For Patient Records|PT_Augmentative Communication Devices|PT_Neurofeedback Systems|PT_Neuroprotective Agents|PT_Occupational Therapy|PT_Naltrexone,model/Bayesian/forecast/plots/Ekbom_Syndrome.png,model/Bayesian/forecast/plots/Ekbom_Syndrome.pdf
RMD_Erotomania,Erotomania,8,PT_Transcranial Direct Current Stimulation|PT_Hypnotherapy|PT_Occupational Therapy|PT_Motivational Interviewing|PT_Closed Loop Neurostimulation|PT_Digital Phenotyping|PT_Cbt For Insomnia|PT_Machine Learning Neuroimaging,model/Bayesian/forecast/plots/Erotomania.png,model/Bayesian/forecast/plots/Erotomania.pdf
RMD_Factitious Disorder,Factitious Disorder,8,PT_Cognitive Enhancement Programs|PT_Art Therapy|PT_Speech Language Therapy|PT_Acceptance And Commitment Therapy|PT_Neuroprotective Agents|PT_Ketamine Therapy|PT_Naltrexone|PT_Animal Assisted Therapy,model/Bayesian/forecast/plots/Factitious_Disorder.png,model/Bayesian/forecast/plots/Factitious_Disorder.pdf
RMD_Fregoli Delusion,Fregoli Delusion,6,PT_Smart Wearable Mental Health Trackers|PT_Cultural Psychiatry Interventions|PT_Metabolic And Enzyme Targeted Therapy|PT_Biofeedback Devices|PT_Mentalization Based Treatment|PT_Selective Serotonin Reuptake Inhibitors,model/Bayesian/forecast/plots/Fregoli_Delusion.png,model/Bayesian/forecast/plots/Fregoli_Delusion.pdf
RMD_Ganser Syndrome,Ganser Syndrome,8,PT_Psilocybin Assisted Therapy|PT_Fecal Microbiota Transplant|PT_Deep Brain Stimulation|PT_Transcranial Direct Current Stimulation|PT_Immunotherapy For Neuropsychiatric Disorders|PT_Social Skills Training|PT_Pharmacogenomic Testing|PT_Machine Learning Neuroimaging,model/Bayesian/forecast/plots/Ganser_Syndrome.png,model/Bayesian/forecast/plots/Ganser_Syndrome.pdf
RMD_Hallucinogen Persisting Perception Disorder,Hallucinogen Persisting Perception Disorder,8,PT_Memory Retrieval Techniques|PT_Neurofeedback Systems|PT_Anticonvulsant Therapy|PT_Emotion Regulation Training|PT_Narrative Exposure Therapy|PT_Virtual Reality Exposure Therapy|PT_Personalized Medicine|PT_Acceptance And Commitment Therapy,model/Bayesian/forecast/plots/Hallucinogen_Persisting_Perception_Disorder.png,model/Bayesian/forecast/plots/Hallucinogen_Persisting_Perception_Disorder.pdf
RMD_Histrionic Personality Disorder,Histrionic Personality Disorder,8,PT_Lithium Therapy|PT_Neurobiological Assessments For Mental Disorders|PT_Art Therapy|PT_Speech Language Therapy|PT_Music Therapy|PT_Virtual Reality Exposure Therapy|PT_Personalized Medicine|PT_Acceptance And Commitment Therapy,model/Bayesian/forecast/plots/Histrionic_Personality_Disorder.png,model/Bayesian/forecast/plots/Histrionic_Personality_Disorder.pdf
RMD_Hypergraphia,Hypergraphia,4,PT_Deep Brain Stimulation|PT_Transcranial Direct Current Stimulation|PT_Oxytocin Therapy|PT_Selective Serotonin Reuptake Inhibitors,model/Bayesian/forecast/plots/Hypergraphia.png,model/Bayesian/forecast/plots/Hypergraphia.pdf
RMD_Hyperthymesia,Hyperthymesia,8,PT_Fecal Microbiota Transplant|PT_Augmentative Communication Devices|PT_Hypnotherapy|PT_Vagus Nerve Stimulation|PT_Transference Focused Psychotherapy|PT_Motivational Interviewing|PT_Stimulant And Wake Promoting Agents|PT_Closed Loop Neurostimulation,model/Bayesian/forecast/plots/Hyperthymesia.png,model/Bayesian/forecast/plots/Hyperthymesia.pdf
RMD_Impulse Control Disorders,Impulse Control Disorders,8,PT_Neurobiological Assessments For Mental Disorders|PT_Psychoeducation Programs|PT_Emotion Regulation Training|PT_Neurocognitive Training|PT_Narrative Exposure Therapy|PT_Music Therapy|PT_Brain Computer Interface|PT_Personalized Medicine,model/Bayesian/forecast/plots/Impulse_Control_Disorders.png,model/Bayesian/forecast/plots/Impulse_Control_Disorders.pdf
RMD_Intermetamorphosis Syndrome,Intermetamorphosis Syndrome,2,PT_Psilocybin Assisted Therapy|PT_Prolonged Exposure Therapy,model/Bayesian/forecast/plots/Intermetamorphosis_Syndrome.png,model/Bayesian/forecast/plots/Intermetamorphosis_Syndrome.pdf
RMD_Kleine Levin Syndrome,Kleine Levin Syndrome,8,PT_Neurobiological Assessments For Mental Disorders|PT_Dietary Interventions And Supplements|PT_Stem Cell Therapy For Neurological Disorders|PT_Traditional And Alternative Medicine Approaches|PT_Emotion Regulation Training|PT_Regenerative Medicine Approaches|PT_Neuromodulation Techniques|PT_Personalized Medicine,model/Bayesian/forecast/plots/Kleine_Levin_Syndrome.png,model/Bayesian/forecast/plots/Kleine_Levin_Syndrome.pdf
RMD_Kleptomania,Kleptomania,8,PT_Deep Brain Stimulation|PT_Immunotherapy For Neuropsychiatric Disorders|PT_Light Therapy|PT_Acceptance And Commitment Therapy|PT_Social Skills Training|PT_Occupational Therapy|PT_Ketamine Therapy|PT_Stimulant And Wake Promoting Agents,model/Bayesian/forecast/plots/Kleptomania.png,model/Bayesian/forecast/plots/Kleptomania.pdf
RMD_Koro,Koro,8,PT_Psilocybin Assisted Therapy|PT_Prolonged Exposure Therapy|PT_Cognitive Assistive Technologies|PT_Focused Ultrasound Therapy|PT_Trauma Focused Cbt|PT_Neurocognitive Training|PT_Digital Health Tools|PT_Vagus Nerve Stimulation,model/Bayesian/forecast/plots/Koro.png,model/Bayesian/forecast/plots/Koro.pdf
RMD_Landau Kleffner Syndrome,Landau Kleffner Syndrome,8,PT_Privacy Preserving Ai In Digital Mental Health|PT_Metaverse|PT_Cognitive Assistive Technologies|PT_Anticonvulsant Therapy|PT_Behavioral Activation Therapy|PT_Resting State Fmri|PT_Electroencephalography|PT_Antidepressants,model/Bayesian/forecast/plots/Landau_Kleffner_Syndrome.png,model/Bayesian/forecast/plots/Landau_Kleffner_Syndrome.pdf
RMD_Narcissistic Personality Disorder,Narcissistic Personality Disorder,8,PT_Dietary Interventions And Supplements|PT_Stem Cell Therapy For Neurological Disorders|PT_Psychoeducation Programs|PT_Traditional And Alternative Medicine Approaches|PT_Emotion Regulation Training|PT_Neuromodulation Techniques|PT_Electroencephalography|PT_Brain Computer Interface,model/Bayesian/forecast/plots/Narcissistic_Personality_Disorder.png,model/Bayesian/forecast/plots/Narcissistic_Personality_Disorder.pdf
RMD_Olfactory Reference Syndrome,Olfactory Reference Syndrome,8,PT_Oxytocin Therapy|PT_Mentalization Based Treatment|PT_Acceptance And Commitment Therapy|PT_Occupational Therapy|PT_Motivational Interviewing|PT_Stimulant And Wake Promoting Agents|PT_Naltrexone|PT_Animal Assisted Therapy,model/Bayesian/forecast/plots/Olfactory_Reference_Syndrome.png,model/Bayesian/forecast/plots/Olfactory_Reference_Syndrome.pdf
RMD_Othello Syndrome,Othello Syndrome,8,PT_Sleep Pattern Monitoring And Manipulation|PT_Biofeedback Devices|PT_Interpersonal Psychotherapy|PT_Mentalization Based Treatment|PT_Dialectical Behavior Therapy|PT_Chronotherapy|PT_Animal Assisted Therapy|PT_Cbt For Insomnia,model/Bayesian/forecast/plots/Othello_Syndrome.png,model/Bayesian/forecast/plots/Othello_Syndrome.pdf
RMD_Palilalia,Palilalia,5,PT_Memory Retrieval Techniques|PT_Neuroplasticity Techniques|PT_Dietary Interventions And Supplements|PT_Neurofeedback Systems|PT_Psychoeducation Programs,model/Bayesian/forecast/plots/Palilalia.png,model/Bayesian/forecast/plots/Palilalia.pdf
RMD_Postpartum Psychosis,Postpartum Psychosis,8,PT_Psilocybin Assisted Therapy|PT_Metaverse|PT_Digital Imaging Technologies For Brain Scanning|PT_Traditional And Alternative Medicine Approaches|PT_Neuromodulation Techniques|PT_Digital Health Tools|PT_Mood Stabilizers|PT_Pharmacogenomic Testing,model/Bayesian/forecast/plots/Postpartum_Psychosis.png,model/Bayesian/forecast/plots/Postpartum_Psychosis.pdf
RMD_Pyromania,Pyromania,7,PT_Smart Wearable Mental Health Trackers|PT_Vocal And Speech Biomarkers|PT_Deep Brain Stimulation|PT_Transcranial Direct Current Stimulation|PT_Selective Serotonin Reuptake Inhibitors|PT_Schema Therapy|PT_Cbt For Insomnia,model/Bayesian/forecast/plots/Pyromania.png,model/Bayesian/forecast/plots/Pyromania.pdf
RMD_Reactive Attachment Disorder,Reactive Attachment Disorder,8,PT_Transcranial Direct Current Stimulation|PT_Oxytocin Therapy|PT_Hypnotherapy|PT_Occupational Therapy|PT_Motivational Interviewing|PT_Ketamine Therapy|PT_Stimulant And Wake Promoting Agents|PT_Cbt For Insomnia,model/Bayesian/forecast/plots/Reactive_Attachment_Disorder.png,model/Bayesian/forecast/plots/Reactive_Attachment_Disorder.pdf
RMD_Reduplicative Paramnesia,Reduplicative Paramnesia,8,PT_Dietary Interventions And Supplements|PT_Stem Cell Therapy For Neurological Disorders|PT_Traditional And Alternative Medicine Approaches|PT_Interpersonal Psychotherapy|PT_Neuromodulation Techniques|PT_Personalized Medicine|PT_Emdr Therapy|PT_Animal Assisted Therapy,model/Bayesian/forecast/plots/Reduplicative_Paramnesia.png,model/Bayesian/forecast/plots/Reduplicative_Paramnesia.pdf
RMD_Rumination Disorder,Rumination Disorder,8,PT_Fecal Microbiota Transplant|PT_Metaverse|PT_Resting State Fmri|PT_Mindfulness Based Stress Reduction|PT_Transcranial Magnetic Stimulation|PT_Selective Serotonin Reuptake Inhibitors|PT_Vagus Nerve Stimulation|PT_Transference Focused Psychotherapy,model/Bayesian/forecast/plots/Rumination_Disorder.png,model/Bayesian/forecast/plots/Rumination_Disorder.pdf
RMD_Savant Syndrome,Savant Syndrome,4,PT_Social Skills Training|PT_Hypnotherapy|PT_Occupational Therapy|PT_Motivational Interviewing,model/Bayesian/forecast/plots/Savant_Syndrome.png,model/Bayesian/forecast/plots/Savant_Syndrome.pdf
RMD_Schizoaffective Disorder,Schizoaffective Disorder,8,PT_Neurocognitive Training|PT_Music Therapy|PT_Electroencephalography|PT_Virtual Reality Exposure Therapy|PT_Brain Computer Interface|PT_Personalized Medicine|PT_Transcranial Magnetic Stimulation|PT_Ketamine Therapy,model/Bayesian/forecast/plots/Schizoaffective_Disorder.png,model/Bayesian/forecast/plots/Schizoaffective_Disorder.pdf
RMD_Schizotypal Personality Disorder,Schizotypal Personality Disorder,8,PT_Cultural Psychiatry Interventions|PT_Neurofeedback Systems|PT_Mentalization Based Treatment|PT_Neuroprotective Agents|PT_Hypnotherapy|PT_Motivational Interviewing|PT_Naltrexone|PT_Animal Assisted Therapy,model/Bayesian/forecast/plots/Schizotypal_Personality_Disorder.png,model/Bayesian/forecast/plots/Schizotypal_Personality_Disorder.pdf
RMD_Selective Mutism,Selective Mutism,8,PT_Deep Brain Stimulation|PT_Transcranial Direct Current Stimulation|PT_Immunotherapy For Neuropsychiatric Disorders|PT_Brain Computer Interface|PT_Cognitive Behavioral Therapy|PT_Transcranial Magnetic Stimulation|PT_Motivational Interviewing|PT_Machine Learning Neuroimaging,model/Bayesian/forecast/plots/Selective_Mutism.png,model/Bayesian/forecast/plots/Selective_Mutism.pdf
RMD_Stendhal Syndrome,Stendhal Syndrome,6,PT_Privacy Preserving Ai In Digital Mental Health|PT_Psilocybin Assisted Therapy|PT_Metaverse|PT_Anticonvulsant Therapy|PT_Focused Ultrasound Therapy|PT_Resting State Fmri,model/Bayesian/forecast/plots/Stendhal_Syndrome.png,model/Bayesian/forecast/plots/Stendhal_Syndrome.pdf
RMD_Wendigo Psychosis,Wendigo Psychosis,5,PT_Sleep Pattern Monitoring And Manipulation|PT_Neuroplasticity Techniques|PT_Cognitive Enhancement Programs|PT_Metabolic And Enzyme Targeted Therapy|PT_Voxel Based Lesion Symptom Mapping,model/Bayesian/forecast/plots/Wendigo_Psychosis.png,model/Bayesian/forecast/plots/Wendigo_Psychosis.pdf
